
  0%|                                                                                                                                                                                                                                                                                            | 0/10 [00:00<?, ?it/s]
0, 0.1364392638206482
1, 0.1364392638206482
2, 0.12979233264923096
3, 0.11694787442684174
4, 0.09893616288900375
5, 0.07756020128726959
6, 0.05549618601799011
7, 0.03877006471157074
8, 0.027035456150770187
9, 0.019472874701023102
10, 0.015018614940345287
11, 0.012625312432646751
12, 0.01144290529191494
13, 0.010874553583562374
14, 0.010546903125941753
15, 0.010251525789499283
16, 0.009884463623166084
17, 0.009414631873369217
18, 0.008851652964949608
19, 0.008223801851272583
20, 0.0075646354816854
21, 0.006907287053763866
22, 0.006282907910645008
23, 0.005717508494853973
24, 0.005225547589361668
25, 0.004811995662748814
26, 0.004473675973713398
27, 0.004202584270387888
28, 0.003987195901572704
29, 0.0038128597661852837
30, 0.003664951305836439
31, 0.0035307982470840216
32, 0.0034005213528871536
33, 0.0032666490878909826
34, 0.0031258268281817436
35, 0.0029771316330879927
36, 0.002821545582264662
37, 0.0026618451811373234
38, 0.0025013568811118603
39, 0.002343779196962714
40, 0.002192891901358962
41, 0.002051454735919833
42, 0.0019215326756238937
43, 0.0018043428426608443
44, 0.0016999132931232452
45, 0.001607692800462246
46, 0.0015265913680195808
47, 0.0014547834871336818
48, 0.0013906869571655989
49, 0.0013324389001354575
50, 0.001278691808693111
51, 0.0012283653486520052
52, 0.001180650433525443
53, 0.0011352312285453081
54, 0.0010918255429714918
55, 0.0010506014805287123
56, 0.001011638785712421
57, 0.000975035538431257
58, 0.0009409510530531406
59, 0.0009093111148104072
60, 0.0008799649658612907
61, 0.0008526868186891079
62, 0.0008272206177935004
63, 0.0008034260245040059
64, 0.0007809756207279861
65, 0.0007597574731335044
66, 0.0007394963758997619
67, 0.0007201242260634899
68, 0.0007016091840341687
69, 0.0006839583511464298
70, 0.0006670814473181963
71, 0.0006511554820463061
72, 0.000636078417301178
73, 0.0006219290080480278
74, 0.0006086252396926284
75, 0.0005961586721241474
76, 0.0005845162086188793
77, 0.0005736019811592996
78, 0.0005633628461509943
79, 0.0005537262186408043
80, 0.000544618465937674
81, 0.0005359691567718983
82, 0.0005277561722323298
83, 0.0005199214210733771
84, 0.0005124300951138139
85, 0.0005052825435996056
86, 0.0004984410479664803
87, 0.0004918919876217842
88, 0.0004856537561863661
89, 0.000479682203149423
90, 0.0004739743599202484
91, 0.00046851017395965755
92, 0.0004632865311577916
93, 0.0004582831752486527
94, 0.00045348386629484594
95, 0.0004488865379244089
96, 0.00044446345418691635
97, 0.0004402250924613327
98, 0.00043613891466520727
99, 0.0004322166205383837
100, 0.0004284388560336083
101, 0.0004247902543283999
102, 0.0004212831554468721
103, 0.000417903414927423
104, 0.0004146324936300516
105, 0.0004114725743420422
106, 0.00040840933797881007
107, 0.00040546379750594497
108, 0.0004026099923066795
109, 0.0003998386091552675
110, 0.000397161056753248
111, 0.00039458772516809404
112, 0.00039207463851198554
113, 0.0003896592534147203
114, 0.0003873048990499228
115, 0.0003850545617751777
116, 0.0003828570188488811
117, 0.0003807270841207355
118, 0.0003786761953961104
119, 0.00037667975993826985
120, 0.00037475163117051125
121, 0.00037288034218363464
122, 0.0003710621385835111
123, 0.0003693085163831711
124, 0.00036760722286999226
125, 0.0003659625072032213
126, 0.00036436435766518116
127, 0.00036282543442212045
128, 0.0003613262379076332
129, 0.0003598670882638544
130, 0.00035847234539687634
131, 0.0003571078123059124
132, 0.0003557844029273838
133, 0.00035450499854050577
134, 0.0003532799310050905
135, 0.0003520833561196923
136, 0.0003509260423015803
137, 0.0003498158766888082
138, 0.00034872861579060555
139, 0.0003476842539384961
140, 0.0003466752532403916
141, 0.00034570408752188087
142, 0.00034475591382943094
143, 0.0003438421699684113
144, 0.0003429663775023073
145, 0.0003421174769755453
146, 0.0003413059748709202
147, 0.00034051769762299955
148, 0.00033975508995354176
149, 0.00033902988070622087
150, 0.0003383266448508948
151, 0.00033765178523026407
152, 0.0003370080085005611
153, 0.00033638611785136163
154, 0.0003357904206495732
155, 0.00033521297154948115
156, 0.0003346799348946661
157, 0.0003341450064908713
158, 0.0003336525405757129
159, 0.0003331710468046367
160, 0.0003327226440887898
161, 0.0003322836710140109
162, 0.000331876304699108
163, 0.0003314820060040802
164, 0.00033110531512647867
165, 0.0003307461738586426
166, 0.00033040938433259726
167, 0.00033010062179528177
168, 0.0003297997754998505
169, 0.0003295158676337451
170, 0.0003292512847110629
171, 0.0003289993619546294
172, 0.0003287683648522943
173, 0.0003285542770754546
174, 0.000328349182382226
175, 0.00032816710881888866
176, 0.0003279876837041229
177, 0.00032782586640678346
178, 0.00032768031815066934
179, 0.0003275401541031897
