  0%|                                                                                                                                                                                                                                                                       | 0/1 [00:00<?, ?it/s]/home/icl2/anaconda3/lib/python3.10/site-packages/torch/cuda/memory.py:330: FutureWarning: torch.cuda.reset_max_memory_allocated now calls torch.cuda.reset_peak_memory_stats, which resets /all/ peak memory stats.
  warnings.warn(
tensor(0.7582, device='cuda:0') 117.0625 119.875
tensor(0.7374, device='cuda:0') 117.0625 119.875
tensor(0.7370, device='cuda:0') 117.0625 119.875
tensor(0.7364, device='cuda:0') 117.0625 119.875
tensor(0.7360, device='cuda:0') 117.0625 119.875
tensor(0.7353, device='cuda:0') 117.0625 119.8125
tensor(0.7348, device='cuda:0') 117.0625 119.8125
tensor(0.7343, device='cuda:0') 117.0625 119.8125
tensor(0.7335, device='cuda:0') 117.0625 119.875
tensor(0.7330, device='cuda:0') 117.0625 119.875
tensor(0.7324, device='cuda:0') 117.0625 119.8125
tensor(0.7319, device='cuda:0') 117.0625 119.875
tensor(0.7317, device='cuda:0') 117.0625 119.875
tensor(0.7310, device='cuda:0') 117.0625 119.875
tensor(0.7307, device='cuda:0') 117.0625 119.875
tensor(0.7299, device='cuda:0') 117.0625 119.8125
tensor(0.7294, device='cuda:0') 117.0625 119.8125
tensor(0.7290, device='cuda:0') 117.0625 119.8125
tensor(0.7286, device='cuda:0') 117.0625 119.8125
tensor(0.7279, device='cuda:0') 117.0625 119.8125
tensor(0.7276, device='cuda:0') 117.0625 119.8125
tensor(0.7268, device='cuda:0') 117.0625 119.8125
tensor(0.7264, device='cuda:0') 117.0625 119.8125
tensor(0.7257, device='cuda:0') 117.0625 119.8125
tensor(0.7253, device='cuda:0') 117.0625 119.8125
tensor(0.7246, device='cuda:0') 117.0625 119.8125
tensor(0.7239, device='cuda:0') 117.0625 119.8125
tensor(0.7237, device='cuda:0') 117.0625 119.8125
tensor(0.7233, device='cuda:0') 117.0625 119.8125
tensor(0.7225, device='cuda:0') 117.0625 119.8125
tensor(0.7220, device='cuda:0') 117.0625 119.8125
tensor(0.7217, device='cuda:0') 117.0625 119.8125
tensor(0.7217, device='cuda:0') 117.0625 119.8125
tensor(0.7210, device='cuda:0') 117.0625 119.8125
tensor(0.7201, device='cuda:0') 117.0625 119.8125
tensor(0.7197, device='cuda:0') 117.0625 119.8125
tensor(0.7190, device='cuda:0') 117.0625 119.8125
tensor(0.7190, device='cuda:0') 117.0625 119.8125
tensor(0.7179, device='cuda:0') 117.0625 119.8125
tensor(0.7177, device='cuda:0') 117.0625 119.8125
tensor(0.7169, device='cuda:0') 117.0625 119.8125
tensor(0.7169, device='cuda:0') 117.0625 119.8125
tensor(0.7162, device='cuda:0') 117.0625 119.8125
tensor(0.7156, device='cuda:0') 117.0625 119.8125
tensor(0.7150, device='cuda:0') 117.0625 119.8125
tensor(0.7145, device='cuda:0') 117.0625 119.8125
tensor(0.7135, device='cuda:0') 117.0625 119.8125
tensor(0.7130, device='cuda:0') 117.0625 119.8125
tensor(0.7127, device='cuda:0') 117.0625 119.8125
tensor(0.7122, device='cuda:0') 117.0625 119.8125
tensor(0.7115, device='cuda:0') 117.0625 119.8125
tensor(0.7106, device='cuda:0') 117.0625 119.8125
tensor(0.7101, device='cuda:0') 117.0625 119.8125
tensor(0.7091, device='cuda:0') 117.0625 119.8125
tensor(0.7086, device='cuda:0') 117.125 119.8125
tensor(0.7077, device='cuda:0') 117.125 119.8125
tensor(0.7069, device='cuda:0') 117.125 119.8125
tensor(0.7061, device='cuda:0') 117.125 119.8125
tensor(0.7062, device='cuda:0') 117.125 119.8125
tensor(0.7053, device='cuda:0') 117.125 119.8125
tensor(0.7047, device='cuda:0') 117.125 119.8125
tensor(0.7040, device='cuda:0') 117.125 119.8125
tensor(0.7034, device='cuda:0') 117.125 119.8125
tensor(0.7028, device='cuda:0') 117.125 119.8125
tensor(0.7024, device='cuda:0') 117.125 119.8125
tensor(0.7016, device='cuda:0') 117.125 119.8125
tensor(0.7009, device='cuda:0') 117.125 119.8125
tensor(0.6996, device='cuda:0') 117.125 119.8125
tensor(0.6996, device='cuda:0') 117.125 119.8125
tensor(0.6987, device='cuda:0') 117.125 119.8125
tensor(0.6979, device='cuda:0') 117.125 119.8125
tensor(0.6980, device='cuda:0') 117.125 119.8125
tensor(0.6971, device='cuda:0') 117.125 119.8125
tensor(0.6963, device='cuda:0') 117.125 119.8125
tensor(0.6956, device='cuda:0') 117.125 119.8125
tensor(0.6952, device='cuda:0') 117.125 119.8125
tensor(0.6948, device='cuda:0') 117.125 119.8125
tensor(0.6945, device='cuda:0') 117.125 119.8125
tensor(0.6943, device='cuda:0') 117.125 119.8125
tensor(0.6935, device='cuda:0') 117.125 119.8125
tensor(0.6927, device='cuda:0') 117.125 119.8125
tensor(0.6917, device='cuda:0') 117.125 119.8125
tensor(0.6912, device='cuda:0') 117.125 119.8125
tensor(0.6911, device='cuda:0') 117.125 119.8125
tensor(0.6903, device='cuda:0') 117.125 119.8125
tensor(0.6897, device='cuda:0') 117.125 119.8125
tensor(0.6894, device='cuda:0') 117.125 119.8125
tensor(0.6891, device='cuda:0') 117.125 119.8125
tensor(0.6883, device='cuda:0') 117.125 119.8125
tensor(0.6879, device='cuda:0') 117.125 119.8125
tensor(0.6873, device='cuda:0') 117.125 119.8125
tensor(0.6869, device='cuda:0') 117.125 119.8125
tensor(0.6864, device='cuda:0') 117.125 119.8125
tensor(0.6860, device='cuda:0') 117.125 119.8125
tensor(0.6854, device='cuda:0') 117.1875 119.8125
tensor(0.6850, device='cuda:0') 117.1875 119.8125
tensor(0.6847, device='cuda:0') 117.1875 119.8125
tensor(0.6835, device='cuda:0') 117.1875 119.8125
tensor(0.6835, device='cuda:0') 117.1875 119.8125
tensor(0.6832, device='cuda:0') 117.1875 119.8125
tensor(0.6821, device='cuda:0') 117.1875 119.8125
tensor(0.6820, device='cuda:0') 117.1875 119.8125
tensor(0.6813, device='cuda:0') 117.1875 119.8125
tensor(0.6810, device='cuda:0') 117.1875 119.8125
tensor(0.6802, device='cuda:0') 117.1875 119.8125
tensor(0.6793, device='cuda:0') 117.1875 119.8125
tensor(0.6784, device='cuda:0') 117.1875 119.8125
tensor(0.6784, device='cuda:0') 117.1875 119.8125
tensor(0.6779, device='cuda:0') 117.1875 119.8125
tensor(0.6764, device='cuda:0') 117.1875 119.8125
tensor(0.6767, device='cuda:0') 117.1875 119.8125
tensor(0.6761, device='cuda:0') 117.1875 119.8125
tensor(0.6758, device='cuda:0') 117.1875 119.8125
tensor(0.6749, device='cuda:0') 117.1875 119.8125
tensor(0.6745, device='cuda:0') 117.1875 119.8125
tensor(0.6733, device='cuda:0') 117.1875 119.8125
tensor(0.6722, device='cuda:0') 117.1875 119.8125
tensor(0.6718, device='cuda:0') 117.1875 119.8125
tensor(0.6718, device='cuda:0') 117.1875 119.8125
tensor(0.6709, device='cuda:0') 117.1875 119.8125
tensor(0.6713, device='cuda:0') 117.1875 119.8125
tensor(0.6697, device='cuda:0') 117.1875 119.8125
tensor(0.6687, device='cuda:0') 117.1875 119.8125
tensor(0.6690, device='cuda:0') 117.1875 119.8125
tensor(0.6676, device='cuda:0') 117.1875 119.8125
tensor(0.6670, device='cuda:0') 117.1875 119.8125
tensor(0.6663, device='cuda:0') 117.25 119.8125
tensor(0.6656, device='cuda:0') 117.25 119.8125
tensor(0.6647, device='cuda:0') 117.25 119.8125
tensor(0.6636, device='cuda:0') 117.25 119.8125
tensor(0.6637, device='cuda:0') 117.25 119.8125
tensor(0.6627, device='cuda:0') 117.25 119.8125
tensor(0.6618, device='cuda:0') 117.25 119.8125
tensor(0.6621, device='cuda:0') 117.25 119.8125
tensor(0.6608, device='cuda:0') 117.25 119.8125
tensor(0.6595, device='cuda:0') 117.25 119.8125
tensor(0.6590, device='cuda:0') 117.25 119.8125
tensor(0.6586, device='cuda:0') 117.25 119.8125
tensor(0.6579, device='cuda:0') 117.25 119.8125
tensor(0.6568, device='cuda:0') 117.25 119.8125
tensor(0.6563, device='cuda:0') 117.25 119.8125
tensor(0.6560, device='cuda:0') 117.25 119.8125
tensor(0.6553, device='cuda:0') 117.25 119.8125
tensor(0.6549, device='cuda:0') 117.25 119.8125
tensor(0.6538, device='cuda:0') 117.25 119.8125
tensor(0.6518, device='cuda:0') 117.25 119.8125
tensor(0.6518, device='cuda:0') 117.25 119.8125
tensor(0.6505, device='cuda:0') 117.25 119.8125
tensor(0.6497, device='cuda:0') 117.25 119.8125
tensor(0.6489, device='cuda:0') 117.25 119.8125
tensor(0.6482, device='cuda:0') 117.25 119.8125
tensor(0.6473, device='cuda:0') 117.25 119.8125
tensor(0.6460, device='cuda:0') 117.25 119.8125
tensor(0.6454, device='cuda:0') 117.3125 119.8125
tensor(0.6429, device='cuda:0') 117.3125 119.8125
tensor(0.6425, device='cuda:0') 117.3125 119.8125
tensor(0.6423, device='cuda:0') 117.3125 119.8125
tensor(0.6414, device='cuda:0') 117.3125 119.8125
tensor(0.6411, device='cuda:0') 117.3125 119.875
tensor(0.6399, device='cuda:0') 117.3125 119.875
tensor(0.6389, device='cuda:0') 117.3125 119.8125
tensor(0.6378, device='cuda:0') 117.3125 119.8125
tensor(0.6359, device='cuda:0') 117.3125 119.8125
tensor(0.6361, device='cuda:0') 117.3125 119.8125
tensor(0.6360, device='cuda:0') 117.3125 119.8125
tensor(0.6348, device='cuda:0') 117.3125 119.8125
tensor(0.6328, device='cuda:0') 117.3125 119.8125
tensor(0.6320, device='cuda:0') 117.3125 119.8125
tensor(0.6301, device='cuda:0') 117.3125 119.8125
tensor(0.6280, device='cuda:0') 117.3125 119.8125
tensor(0.6247, device='cuda:0') 117.3125 119.8125
tensor(0.6220, device='cuda:0') 117.3125 119.8125
tensor(0.6212, device='cuda:0') 117.3125 119.8125
tensor(0.6193, device='cuda:0') 117.3125 119.8125
tensor(0.6172, device='cuda:0') 117.3125 119.8125
tensor(0.6159, device='cuda:0') 117.3125 119.8125
tensor(0.6116, device='cuda:0') 117.3125 119.8125
tensor(0.6113, device='cuda:0') 117.375 119.8125
tensor(0.6100, device='cuda:0') 117.375 119.8125
tensor(0.6071, device='cuda:0') 117.375 119.8125
tensor(0.6086, device='cuda:0') 117.375 119.8125
tensor(0.6079, device='cuda:0') 117.375 119.8125
tensor(0.6104, device='cuda:0') 117.375 119.8125
tensor(0.6102, device='cuda:0') 117.375 119.8125
tensor(0.6098, device='cuda:0') 117.375 119.8125
tensor(0.6075, device='cuda:0') 117.375 119.8125
tensor(0.6095, device='cuda:0') 117.375 119.8125
tensor(0.6127, device='cuda:0') 117.375 119.875
tensor(0.6132, device='cuda:0') 117.375 119.8125
tensor(0.6137, device='cuda:0') 117.375 119.875
tensor(0.6137, device='cuda:0') 117.375 119.875
tensor(0.6119, device='cuda:0') 117.375 119.875
tensor(0.6122, device='cuda:0') 117.375 119.8125
tensor(0.6136, device='cuda:0') 117.375 119.8125
tensor(0.6135, device='cuda:0') 117.375 119.8125
tensor(0.6140, device='cuda:0') 117.375 119.8125
tensor(0.6131, device='cuda:0') 117.375 119.8125
tensor(0.6123, device='cuda:0') 117.375 119.8125
tensor(0.6118, device='cuda:0') 117.375 119.8125
tensor(0.6108, device='cuda:0') 117.4375 119.8125
tensor(0.6122, device='cuda:0') 117.4375 119.8125
tensor(0.6123, device='cuda:0') 117.4375 119.8125
tensor(0.6093, device='cuda:0') 117.4375 119.8125
tensor(0.6092, device='cuda:0') 117.4375 119.8125
tensor(0.6105, device='cuda:0') 117.4375 119.8125
tensor(0.6081, device='cuda:0') 117.4375 119.8125
tensor(0.6066, device='cuda:0') 117.4375 119.875
tensor(0.6083, device='cuda:0') 117.4375 119.875
tensor(0.6064, device='cuda:0') 117.4375 119.875
tensor(0.6061, device='cuda:0') 117.4375 119.875
tensor(0.6056, device='cuda:0') 117.4375 119.875
tensor(0.6027, device='cuda:0') 117.4375 119.875
tensor(0.6033, device='cuda:0') 117.4375 119.875
tensor(0.6036, device='cuda:0') 117.4375 119.875
tensor(0.6050, device='cuda:0') 117.4375 119.875
tensor(0.6047, device='cuda:0') 117.4375 119.875
tensor(0.6069, device='cuda:0') 117.4375 119.875
tensor(0.6029, device='cuda:0') 117.4375 119.875
tensor(0.6012, device='cuda:0') 117.4375 119.8125
tensor(0.6005, device='cuda:0') 117.4375 119.875
tensor(0.6018, device='cuda:0') 117.5 119.8125
tensor(0.6006, device='cuda:0') 117.5 119.875
tensor(0.6045, device='cuda:0') 117.5 119.8125
tensor(0.6033, device='cuda:0') 117.5 119.875
tensor(0.5992, device='cuda:0') 117.5 119.875
tensor(0.5999, device='cuda:0') 117.5 119.8125
tensor(0.6020, device='cuda:0') 117.5 119.875
tensor(0.6003, device='cuda:0') 117.5 119.875
tensor(0.5997, device='cuda:0') 117.5 119.875
tensor(0.6006, device='cuda:0') 117.5 119.875
tensor(0.5978, device='cuda:0') 117.5 119.875
tensor(0.5963, device='cuda:0') 117.5 119.875
tensor(0.5960, device='cuda:0') 117.5 119.875
tensor(0.5942, device='cuda:0') 117.5 119.875
tensor(0.5981, device='cuda:0') 117.5 119.875
tensor(0.5946, device='cuda:0') 117.5 119.875
tensor(0.5970, device='cuda:0') 117.5 119.875
tensor(0.5913, device='cuda:0') 117.5 119.875
tensor(0.5912, device='cuda:0') 117.5 119.875
tensor(0.5879, device='cuda:0') 117.5 119.875
tensor(0.5870, device='cuda:0') 117.5625 119.875
tensor(0.5830, device='cuda:0') 117.5625 119.875
tensor(0.5730, device='cuda:0') 117.5625 119.875
tensor(0.5770, device='cuda:0') 117.5625 119.875
tensor(0.5767, device='cuda:0') 117.5625 119.875
tensor(0.5677, device='cuda:0') 117.5625 119.875
tensor(0.5661, device='cuda:0') 117.5625 119.875
tensor(0.5752, device='cuda:0') 117.5625 119.875
tensor(0.5569, device='cuda:0') 117.5625 119.875
tensor(0.5601, device='cuda:0') 117.5625 119.875
tensor(0.5447, device='cuda:0') 117.5625 119.875
tensor(0.5458, device='cuda:0') 117.5625 119.875
tensor(0.5370, device='cuda:0') 117.5625 119.875
tensor(0.5203, device='cuda:0') 117.5625 119.875
tensor(0.5075, device='cuda:0') 117.5625 119.875
100%|██████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████| 1/1 [02:01<00:00, 121.53s/it]
tensor(0.4826, device='cuda:0') 117.5625 119.875
tensor(0.4656, device='cuda:0') 117.5625 119.875
tensor(0.4405, device='cuda:0') 117.5625 119.875
tensor(0.3956, device='cuda:0') 117.5625 119.875
tensor(0.3266, device='cuda:0') 117.625 119.875
tensor(0.2399, device='cuda:0') 117.625 119.875
tensor(0.1664, device='cuda:0') 117.625 119.875
tensor(0.0590, device='cuda:0') 117.625 119.875
