2024-03-25 17:54:15,147 INFO    StreamThr :1395816 [internal.py:wandb_internal():86] W&B internal server running at pid: 1395816, started at: 2024-03-25 17:54:15.147421
2024-03-25 17:54:15,149 DEBUG   HandlerThread:1395816 [handler.py:handle_request():144] handle_request: status
2024-03-25 17:54:15,151 INFO    WriterThread:1395816 [datastore.py:open_for_write():85] open: /home/icl2/khlee/InstaFlow/code/wandb/run-20240325_175415-ajcxtsvc/run-ajcxtsvc.wandb
2024-03-25 17:54:15,152 DEBUG   SenderThread:1395816 [sender.py:send():369] send: header
2024-03-25 17:54:15,153 DEBUG   SenderThread:1395816 [sender.py:send():369] send: run
2024-03-25 17:54:15,675 INFO    SenderThread:1395816 [dir_watcher.py:__init__():211] watching files in: /home/icl2/khlee/InstaFlow/code/wandb/run-20240325_175415-ajcxtsvc/files
2024-03-25 17:54:15,675 INFO    SenderThread:1395816 [sender.py:_start_run_threads():1100] run started: ajcxtsvc with start time 1711356855.146671
2024-03-25 17:54:15,675 DEBUG   SenderThread:1395816 [sender.py:send_request():396] send_request: summary_record
2024-03-25 17:54:15,675 DEBUG   HandlerThread:1395816 [handler.py:handle_request():144] handle_request: check_version
2024-03-25 17:54:15,675 INFO    SenderThread:1395816 [sender.py:_save_file():1354] saving file wandb-summary.json with policy end
2024-03-25 17:54:15,676 DEBUG   SenderThread:1395816 [sender.py:send_request():396] send_request: check_version
2024-03-25 17:54:15,747 DEBUG   HandlerThread:1395816 [handler.py:handle_request():144] handle_request: run_start
2024-03-25 17:54:15,751 DEBUG   HandlerThread:1395816 [system_info.py:__init__():31] System info init
2024-03-25 17:54:15,751 DEBUG   HandlerThread:1395816 [system_info.py:__init__():46] System info init done
2024-03-25 17:54:15,751 INFO    HandlerThread:1395816 [system_monitor.py:start():181] Starting system monitor
2024-03-25 17:54:15,751 INFO    SystemMonitor:1395816 [system_monitor.py:_start():145] Starting system asset monitoring threads
2024-03-25 17:54:15,751 INFO    HandlerThread:1395816 [system_monitor.py:probe():201] Collecting system info
2024-03-25 17:54:15,751 INFO    SystemMonitor:1395816 [interfaces.py:start():190] Started cpu monitoring
